"role","skill_name","purpose","domain","install_tier","source_group","source_commit","package_relative_path","skill_file","permission_note"
"deployer","ai-for-science-proteinbert","ProteinBERT 昇腾 NPU 部署与迁移 Skill，适用于将 TensorFlow 或 Keras 版 ProteinBERT 转成基于 PyTorch 与 torch_npu 的实现，覆盖权重转换、embedding 提取、微调训练、注意力可视化和 GPU 与 NPU 精度验证。","ai4s","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","proteinbert","proteinbert/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascend-mmcv-install","在昇腾NPU容器中编译安装mmcv-full，支持NPU算子。适用于需要mmcv作为依赖的其他OpenMMLab库安装前的前置步骤。","environment-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","mmcv","mmcv/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascend-mmdet3d-install","在昇腾NPU容器中安装mmdetection3d（含mmsegmentation依赖）。适用于3D目标检测模型的开发。","environment-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","mmdet3d","mmdet3d/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascend-mmdet-install","在昇腾NPU容器中安装mmdetection。适用于目标检测模型的开发。","environment-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","mmdet","mmdet/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","acestep-v15-xl-npu-deploy","ACE-Step v15 XL 系列音乐生成模型（4B DiT）在华为昇腾 NPU 上的完整部署与推理验证 Skill。 涵盖环境准备、依赖安装、模型加载、NPU 推理验证、精度对比验证的全流程。 支持 acestep-v15-xl-base、sft、turbo 三个模型变体。 当用户提到 ACE-Step 部署昇腾、ACE-Step NPU 推理、音乐生成模型 NPU 适配时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","acestep-v15-xl-npu","acestep-v15-xl-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","aimv2-adapt-npu","Apple AIMv2 视觉编码器适配版系列模型在昇腾 NPU 上的完整部署 Skill。 涵盖 4 个官方发布变体（224-distilled、336-distilled、224-lit、native） 的环境准备、权重下载与 Key 转换、NPU 推理验证、精度对比的全流程。 当用户提到 AIMv2 适配部署昇腾、Apple AIMv2 NPU 推理、aimv2 蒸馏版/lit/native NPU 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","aimv2-adapt-npu","aimv2-adapt-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","aimv2-npu-deploy","AIMv2 (Apple Intelligence Foundation Model v2) 多模态视觉模型在昇腾 NPU 上的完整部署 Skill，覆盖 12 个变体（large/huge/1B/3B × 224/336/448）在全分辨率下的权重转换、FP16 推理、性能基准测试和精度验证。当用户提到 AIMv2 部署昇腾、Apple AIMv2 NPU 推理、aimv2 适配、视觉 embedding 模型 NPU 部署时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","aimv2-npu","aimv2-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascend-detectron2-install","在昇腾NPU容器中从源码安装detectron2。适用于实例分割、目标检测等模型的开发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","detectron2","detectron2/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","batch21-spnasnet100-npu-deploy","SPNASNet_100 (spnasnet_100.rmsp_in1k) 图像分类模型在昇腾 NPU 上的自动部署、推理、CPU/NPU 精度验证与模型仓库发布。适用于：昇腾部署、NPU 推理、精度验证、模型发布。触发词：SPNASNet NPU 部署、spnasnet 昇腾推理、SPNASNet 精度对比、npu-smi、ascend 部署。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","batch21-spnasnet100-npu","batch21-spnasnet100-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","bigvgan-v2-npu","Deploy BigVGAN v2 neural vocoder on Ascend NPU for mel-to-waveform inference. Covers model loading, NPU device detection, end-to-end audio synthesis, and performance benchmarking.","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","bigvgan-v2-npu","bigvgan-v2-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","blendmask-npu","Capability in domain: model-specific-deployment.","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","blendmask-npu","blendmask-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","convformer-npu","ConvFormer 系列图像分类模型的昇腾 NPU 统一部署与精度验证 Skill。支持 timm 库中 convformer_b36/m36/s18/s36 共 20 个变体模型的自动下载、NPU 推理、CPU/NPU 精度对比、README 生成和模型仓库发布。适用于华为昇腾 Ascend 910 NPU。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","convformer-npu","convformer-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","convnext_base.clip_laion2b-npu","ConvNeXt Base (CLIP LAION-2B) 在昇腾 Ascend910B4 NPU 上的推理部署、CPU/NPU 精度验证与性能基准测试。适用于：昇腾部署、NPU 推理、精度验证、性能基准、模型评测。触发词：ConvNeXt CLIP NPU 部署、convnext_base.clip_laion2b 昇腾推理、ConvNeXt 精度对比、npu-smi、ascend 部署、CLIP LAION-2B 推理、昇腾模型验证、timm convnext npu、safetensors 昇腾推理、CANN 部署指南。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","convnext_base.clip_laion2b-npu","convnext_base.clip_laion2b-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","convnext-npu","ConvNeXt 系列图像分类模型在昇腾 NPU 上的统一部署与精度验证 Skill。 覆盖 timm 库中 convnext_nano/pico/small/tiny 共 24 个变体模型的 自动下载、NPU 推理、CPU/NPU 精度对比验证的全流程。 当用户提到 ConvNeXt NPU 部署、ConvNeXt 昇腾、ConvNeXt 精度验证时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","convnext-npu","convnext-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","convnext-test-npu-deploy","ConvNeXt 系列测试模型 (test_convnext.r160_in1k / test_convnext2.r160_in1k / test_convnext3.r160_in1k) 在昇腾 NPU 上的自动部署、推理、CPU/NPU 精度验证与模型仓库发布。适用于：昇腾部署、NPU 推理、精度验证、模型发布。触发词：ConvNeXt NPU 部署、convnext 昇腾推理、ConvNeXt 精度对比、npu-smi、ascend 部署。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","convnext-test-npu","convnext-test-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","cosyvoice-npu-deploy","CosyVoice TTS 系列模型在华为昇腾 NPU 上的完整部署 Skill。 涵盖 CosyVoice-300M（零样本/跨语言）、CosyVoice-300M-Instruct（指令情感控制）、 CosyVoice-300M-SFT（多说话人微调）和 CosyVoice-300M-25Hz（低帧率版本） 共 4 个模型的 NPU 环境准备、依赖安装、模型下载、CPU/NPU 推理验证、 精度对比的一站式标准化流程。可在 Ascend910 系列服务器上一键复现。 当用户提到 CosyVoice NPU、TTS 昇腾、语音合成 NPU 部署时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","cosyvoice-npu-deploy","cosyvoice-npu-deploy/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","c-radio-v2-npu","NVIDIA C-RADIOv2 系列视觉特征提取模型（B/L/H/g）在昇腾 NPU 上的完整部署与精度验证 Skill。 涵盖环境准备、模型下载、NPU 推理验证、精度对比验证全流程。 支持 C-RADIOv2-B（90M）、C-RADIOv2-L（320M）、C-RADIOv2-H（653M）和 C-RADIOv2-g（1.1B）四个版本。 当用户提到 C-RADIOv2 昇腾部署、C-RADIOv2 NPU 推理、NVIDIA RADIO NPU、 C-RADIOv2-B、C-RADIOv2-L、C-RADIOv2-H、C-RADIOv2-g 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","c-radio-v2-npu","c-radio-v2-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","c-radio-v4-npu","NVIDIA C-RADIOv4 视觉特征提取模型在昇腾 NPU 上的完整部署与精度验证 Skill。 涵盖环境准备、模型下载、适配修改、NPU 推理验证、精度对比验证全流程。 支持 C-RADIOv4-H（653M）和 C-RADIOv4-SO400M（431M）两个版本。 当用户提到 C-RADIOv4 昇腾部署、C-RADIOv4 NPU 推理、NVIDIA RADIO NPU、 C-RADIOv4-H、C-RADIOv4-SO400M 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","c-radio-v4-npu","c-radio-v4-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","cubeai-vit-classification-npu-deploy","CubeAI 智立方 ViT 图像分类模型系列在昇腾 NPU 上的完整部署、推理、CPU/NPU 精度对比、终端截图生成、README 编写与 GitCode 模型仓库发布。支持 11 个 ViT 图像分类模型的串行适配和验证（CPU/NPU 误差 < 1%）。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","cubeai-vit-classification-npu-deploy","cubeai-vit-classification-npu-deploy/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","detr-npu-deploy","DETR (DEtection TRansformer) 目标检测模型在昇腾 NPU 上的完整部署 Skill。 涵盖 facebook/detr-resnet-50 和 facebook/detr-resnet-101 两个模型的 环境准备、依赖安装、模型下载、NPU 推理验证、精度对比测试的全流程。 当用户提到 DETR 部署昇腾、DETR NPU 推理、目标检测模型 NPU、ResNet-50/101 NPU 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","detr-npu","detr-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","dinov2-npu-deploy","DINOv2 (vit_base_patch14_dinov2.lvd142m) 视觉 Transformer 模型在昇腾 Ascend910 NPU 上的 完整部署与推理验证 Skill。涵盖环境准备、模型权重获取、NPU 迁移推理、精度对比 （CPU vs NPU fp32/fp16）、性能基准测试的全流程标准化可复现操作。 可在任意 Ascend910/910B 系列服务器上一键复现。 当用户提到 DINOv2 部署昇腾、ViT-B/14 NPU 推理、DINOv2 Ascend、dinov2-npu、 Facebook DINOv2 昇腾、视觉模型 NPU 迁移时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","dinov2-npu","dinov2-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","dino-vits8-npu","DINO ViT-S/8 自监督视觉 Transformer 模型在昇腾 NPU 上的完整推理部署与 CPU/NPU 精度验证 Skill。涵盖环境初始化、权重下载、transfer_to_npu 自动迁移、单图推理验证、随机/真实图像精度对比验收的完整可复现流程。可在任意 Ascend910 系列服务器上一键复现。适用于：DINO 昇腾部署、ViT-S/8 NPU 推理、DINOv1 适配验证、自监督视觉模型 NPU 部署、精度对比。触发词：DINO NPU 部署、dino-vits8 昇腾推理、ViT-S/8 精度对比、dino_deitsmall8 NPU、DINO 自监督模型 昇腾。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","dino-vits8-npu","dino-vits8-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","dm-nfnet-npu-deploy","dm_nfnet（NFNet）系列 7 个图像分类模型（f0-f6）在昇腾 NPU 上的完整部署、 推理验证、CPU/NPU 精度对比与模型仓库发布 Skill。 支持串行处理多模型，避免显存爆炸。适用于 timm NFNet 系列在 Ascend910 上的批量适配与验证。当用户提到 dm_nfnet、NFNet、 Normalization-Free Net、timm NPU 部署时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","dm-nfnet-npu","dm-nfnet-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","efficientnet-b14-npu","EfficientNet 系列 68 个模型 (EfficientNetV2/Lite/B0-B8/CondConv/NoisyStudent/Test) 在昇腾 NPU 上的批量部署、推理、CPU/NPU 精度验证与 GitCode 模型仓库发布。适用于：昇腾部署、NPU 批量推理、精度验证、模型仓库发布。触发词：EfficientNet NPU 部署、EfficientNet 昇腾推理、EfficientNet 精度对比、npu-smi、batch 部署。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","efficientnet-b14-npu","efficientnet-b14-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","efficientnet-npu-adapt","将 PyTorch Vision 的 EfficientNet 系列图像分类模型（B0-B6）适配到华为昇腾 NPU 的一站式流程。支持模型推理、精度验证（CPU vs NPU）和性能基准测试。已验证 7 个模型，所有模型精度误差 < 0.005。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","efficientnet-npu-adapt","efficientnet-npu-adapt/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","efficientnet-npu-skill","EfficientNet 系列 68 个 timm 图像分类模型在昇腾 Ascend NPU 上的部署 Skill，用于 NPU 推理、CPU/NPU 精度验证、批量运行、README 生成和 GitCode 模型仓库发布。用户提出 EfficientNet、Ascend 验证、NPU 推理、CPU/NPU 精度对比或批量适配时必须使用。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","efficientnet-npu-skill","efficientnet-npu-skill/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","esm2-npu-deploy","ESM-2 蛋白质语言模型在昇腾 NPU 上的完整部署与 FP32 推理优化 Skill。 涵盖环境准备、依赖安装、transfer_to_npu 自动迁移、README 推理验证、 FP32 算子级性能优化（npu_rotary_mul / npu_fusion_attention / F.gelu）、 精度对比验证的全流程。可在任意 Ascend910 系列服务器上一键复现。 当用户提到 ESM2 部署昇腾、ESM2 NPU 推理、蛋白质模型 NPU 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","esm2-npu","esm2-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","flan-t5-ascend-npu-agent","Flan-T5 模型在华为昇腾 800I A2 NPU 上的适配与推理 Agent Skill。基于 transformers + torch_npu 原生推理，覆盖环境检查、权重加载、NPU 推理、精度验证、性能基准测试全流程。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","flan-t5-npu","flan-t5-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","flan-t5-base-npu","Capability in domain: model-specific-deployment.","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","flan-t5-base-npu","flan-t5-base-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","granite-4.1-npu-deploy","IBM Granite 4.1 系列大语言模型（3B / 8B / 30B）在华为昇腾 NPU 上的 一键式部署与推理 Skill。基于 transformers + torch_npu + transfer_to_npu 自动迁移，无需修改模型源码。涵盖环境准备、单卡/多卡推理、验证步骤 和常见问题排查。当用户提到 Granite 4.1 昇腾部署、Granite NPU 推理、 ibm-granite 模型适配时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","granite-4.1-npu","granite-4.1-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","granite-speech-npu-deploy","Granite Speech 4.1 (2B/2B-Plus) 语音理解模型在昇腾 NPU 上的完整部署 Skill。 涵盖环境准备、模型加载、Smoke 测试、性能基准和精度对比的全流程。 支持 base 版本（granite_speech，transformers 原生支持）和 plus 版本 （granite_speech_plus，含 cat_hidden_layers 中间层拼接增强）。 当用户提到 Granite Speech 昇腾 NPU 部署、语音模型 NPU 推理时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","granite-speech-npu","granite-speech-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","infinity-instruct-baai-npu","BAAI Infinity-Instruct 系列模型在华为昇腾 Ascend NPU 上的适配部署技能。覆盖 7 个 BAAI Infinity-Instruct/Infinity-Preference 系列大语言模型在 Ascend 910B NPU 上的完整适配流程：环境检查、推理部署、精度验证、性能基准测试。触发词：Infinity-Instruct、Infinity-Preference、BAAI 智源、Infinity-Instruct-3M、BAAI 系列模型 NPU 部署、BAAI NPU 适配。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","infinity-instruct-baai-npu","infinity-instruct-baai-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","kani-tts-400m-npu","KaniTTS 语音合成模型在华为昇腾 Ascend NPU 上的部署、推理与精度验证。 涵盖 10 个模型（7 个语言微调模型 + 3 个预训练/微调模型）， 支持 LFM2 语言模型在 NPU 推理 + NanoCodec 在 CPU 解码的混合部署架构。 触发词：kani-tts NPU、KaniTTS 昇腾、TTS NPU 部署、kani-tts-400m、语音合成 NPU","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","kani-tts-400m-npu","kani-tts-400m-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","kotoba-whisper-npu-deploy","Kotoba-Whisper 系列（6 个模型）在昇腾 NPU 上的完整部署与验证 Skill。 涵盖环境准备、权重下载、NPU 推理、精度对比（NPU vs CPU）、性能基准测试的全流程。 支持 kotoba-whisper v1.0/v1.1/v2.0/v2.1/v2.2 及 bilingual-v1.0 共 6 个模型。 当用户提到 kotoba-whisper 昇腾部署、Whisper NPU 推理、日语语音识别 NPU 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","kotoba-whisper-npu","kotoba-whisper-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","levit-npu-deploy","LeViT (LeViT-128/128S/192/256/384) 系列轻量级视觉 Transformer 模型在昇腾 NPU 上的 完整部署、推理测试、CPU/NPU 精度对比、README 生成和模型仓库发布 Skill。 可串行执行多个模型的 NPU 推理、精度对比、终端截图生成和 GitCode 发布全流程。 当用户提到 LeViT NPU、LeViT 昇腾部署、levit 模型适配时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","levit-npu-deploy","levit-npu-deploy/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","mms-300m-1130-forced-aligner-npu","mms-300m-1130-forced-aligner (Wav2Vec2ForCTC, 315M params) 在华为昇腾 NPU 上的 完整部署与推理验证 Skill。涵盖 CANN 环境初始化、模型权重下载、单文件/批量推理、 CPU vs NPU 精度对比、强制对齐 Pipeline 验证、性能基准测试、验收确认。 当用户提到 MMS 语音模型、Wav2Vec2 强制对齐、CTC 语音识别、mms-300m NPU 部署、 强制对齐 Pipeline、语音时间戳对齐时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","mms-300m-1130-forced-aligner-npu","mms-300m-1130-forced-aligner-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","mms-tts-npu-deploy","多语言 MMS-TTS (VITS) 模型在昇腾 NPU 上的部署与验证 Skill。 覆盖印地语、阿拉伯语、印尼语、西班牙语、约鲁巴语、俄语、越南语、土耳其语 共 8 种语言的 MMS-TTS 模型。提供 transfer_to_npu 自动迁移、推理验证、 精度验证（梅尔频谱分布稳定性）、性能基准测试的全流程。 当用户提到 MMS TTS NPU、多语言 TTS 昇腾、VITS NPU 推理、facebook/mms-tts 时触发。","model-specific-deployment","model-specific","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","mms-tts-npu","mms-tts-npu/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
